Cross Validation is off.
TRAINING - Epoch #129 Error:0.38723998272002746
TRAINING - Epoch #130 Error:0.38627364092948135
TRAINING - Epoch #131 Error:0.38468996238221304
TRAINING - Epoch #132 Error:0.38301389641765793
TRAINING - Epoch #133 Error:0.38164702181099847
TRAINING - Epoch #134 Error:0.3798345969987044
TRAINING - Epoch #135 Error:0.37783997213340653
TRAINING - Epoch #136 Error:0.37557328267106377
TRAINING - Epoch #137 Error:0.3731531406533812
TRAINING - Epoch #138 Error:0.37251118856317494
TRAINING - Epoch #139 Error:0.37005376479987634
TRAINING - Epoch #140 Error:0.3679551125741198
TRAINING - Epoch #141 Error:0.3656259966680166
TRAINING - Epoch #142 Error:0.3646204349497409
TRAINING - Epoch #143 Error:0.3652886240223328
TRAINING - Epoch #144 Error:0.36346384969203555
TRAINING - Epoch #145 Error:0.3623162739350701
TRAINING - Epoch #146 Error:0.36062334948170166
TRAINING - Epoch #147 Error:0.35884651678733787
TRAINING - Epoch #148 Error:0.3574077370959657
TRAINING - Epoch #149 Error:0.3556535535003115
TRAINING - Epoch #150 Error:0.3540751772977426
TRAINING - Epoch #151 Error:0.3518191901232943
TRAINING - Epoch #152 Error:0.34937967269712766
TRAINING - Epoch #153 Error:0.3467830449033398
TRAINING - Epoch #154 Error:0.34417020231098827
TRAINING - Epoch #155 Error:0.3415884452908615
TRAINING - Epoch #156 Error:0.3407163857959395
TRAINING - Epoch #157 Error:0.3475598554920532
TRAINING - Epoch #158 Error:0.33970597448434575
TRAINING - Epoch #159 Error:0.3392647434333585
TRAINING - Epoch #160 Error:0.3392710011393365
TRAINING - Epoch #161 Error:0.3382636879988676
TRAINING - Epoch #162 Error:0.3378319186387841
TRAINING - Epoch #163 Error:0.336692212158594
TRAINING - Epoch #164 Error:0.3357027325849187
TRAINING - Epoch #165 Error:0.33443822168703036
TRAINING - Epoch #166 Error:0.33307841965260754
TRAINING - Epoch #167 Error:0.33173108746496494
TRAINING - Epoch #168 Error:0.3301122437691438
TRAINING - Epoch #169 Error:0.329395766492885
TRAINING - Epoch #170 Error:0.3300169533507074
TRAINING - Epoch #171 Error:0.32832896446312154
TRAINING - Epoch #172 Error:0.3273219365191742
TRAINING - Epoch #173 Error:0.32601881571233915
TRAINING - Epoch #174 Error:0.3245788068772925
TRAINING - Epoch #175 Error:0.3230432210576155
TRAINING - Epoch #176 Error:0.3217622589587696
TRAINING - Epoch #177 Error:0.3211342868525842
TRAINING - Epoch #178 Error:0.31968425420954383
TRAINING - Epoch #179 Error:0.3185194924788532
TRAINING - Epoch #180 Error:0.31702070542641525
TRAINING - Epoch #181 Error:0.315679350811356
TRAINING - Epoch #182 Error:0.3143152170010239
TRAINING - Epoch #183 Error:0.3126897668998604
TRAINING - Epoch #184 Error:0.3109667487722016
TRAINING - Epoch #185 Error:0.3093189931552995
TRAINING - Epoch #186 Error:0.3074168135096829
TRAINING - Epoch #187 Error:0.3068411745959079
TRAINING - Epoch #188 Error:0.3069124078992091
TRAINING - Epoch #189 Error:0.3055777387855936
TRAINING - Epoch #190 Error:0.30491316626701287
TRAINING - Epoch #191 Error:0.30409702398661825
TRAINING - Epoch #192 Error:0.3043916814194181
TRAINING - Epoch #193 Error:0.30226141066110873
TRAINING - Epoch #194 Error:0.30121657645541794
TRAINING - Epoch #195 Error:0.30003940735569573
TRAINING - Epoch #196 Error:0.2988076048108151
TRAINING - Epoch #197 Error:0.2976040314005613
TRAINING - Epoch #198 Error:0.29624617757175487
TRAINING - Epoch #199 Error:0.29478649766590953
TRAINING - Epoch #200 Error:0.293164474094406
TRAINING - Epoch #201 Error:0.29129863625013047
TRAINING - Epoch #202 Error:0.2894794668401299
